Input Name,Best Match,Match Score,Is Match,Match Category
Zoran Kosijer,"VUKOVIC, Zoran",51.85185185185186,False,Weak Match
Zrinko Pinčić,"CAVARA, Marinko",42.85714285714286,False,Weak Match
Zvonko Jurjevic,"BAJAGIC, Zvonko",53.333333333333336,False,Weak Match
Benham Shahriyari Trading Company,"AL-KA'BI, Sa'd bin Sa'd Muhammad Shariyan",45.945945945945944,False,Weak Match
Haeyang Crew Management Company (HCMC),"ALI, Ahmed Mohammed Hamed",38.095238095238095,False,Weak Match
Soe Min Hitke Co. Ltd.,"MARS HARVEST CO., LTD.",45.45454545454546,False,Weak Match
Korea Buyon Shipping Co. Ltd,"BEUN, Kimberley Catriona Lucinda",40.0,False,Weak Match
Rim Yong-hwan,"HU, Yongan",60.86956521739131,False,Partial Match
Marine Transport Office,"THOMAS, Mae Toussaint",45.45454545454546,False,Weak Match
Sunrise Trading and Logistics Co Ltd,"KOROLEV, Sergey Borisovich",38.70967741935484,False,Weak Match
Saigon United Co Ltd,"RI, Song Un",45.16129032258065,False,Weak Match
Sonbak Trading Corporation,"SEREDA, Marina Konstantinovna",43.63636363636364,False,Weak Match
Global Communications Company,"CHIWENGA, Constantino Guveya",38.59649122807017,False,Weak Match
Andrey Nikolaevich SERDYUKOV,"RODKIN, Andrei Nikolaevich",77.77777777777779,False,Partial Match
People’s Militia of the Luhansk People’s Republic,"BUSEL, Nikita Petrovich",36.111111111111114,False,Weak Match
Kang Chun-Il,"KIM, Kwang Chun",74.07407407407408,False,Partial Match
Kim Kwang-myong,"KIM, Kwang Yon",62.06896551724138,False,Partial Match
Abraham Succarieh,"GOITOM, Taeme Abraham",52.63157894736843,False,Weak Match
Usama HAMDAN,"HAMDAN, Usama",96.0,True,Strong Match
Soheyb Laraibi,"DIDI, Faris Mohamed",42.42424242424242,False,Weak Match
Brenton Harrison TARRANT,"HERRERA MEDINA, Brandon Ernesto",50.90909090909091,False,Weak Match
Aleksander VOLFOVICH,"VOLFOVICH, Alexander",90.0,True,Strong Match
Puhung Trading Corporation,"HO, Chun Ting",46.15384615384615,False,Weak Match
Al-Aqsa Martyrs' Brigade (AAMB),"AL-HARBI, Adel Radi Saqr Al-Wahabi",43.07692307692308,False,Weak Match
Asbat Al-Ansar (AAA) (The League of Partisans),"MATAAN, Ahmed Hasan Ali Sulaiman",41.02564102564102,False,Weak Match
Atomwaffen Division,"DAHI, Yasin Ahmad",44.44444444444444,False,Weak Match
Gulbuddin Hekmatyar,"HEKMATYAR, Gulbuddin",56.41025641025641,False,Weak Match
"Gulbuddin Hekmatyar's Faction of the Hezb-e Islami, Hezb-e Islami Gulbuddin (HIG)","AHMMED, Abu Dharr Abdul Nabi Habiballa",33.61344537815126,False,Weak Match
Hamas (Harakat Al-Muqawama Al-Islamiya) (Islamic Resistance Movement),"BIN LADIN, Usama bin Muhammad bin Awad",39.252336448598136,False,Weak Match
Islamic Movement of Uzbekistan (IMU),"AL BINALI, Mohammed Isa Yousif Saqar",41.666666666666664,False,Weak Match
Islamic State East Asia,"SAAB CERTAIN, Isham Ali",47.82608695652174,False,Weak Match
Islamic State – Sinai Province (ISSP),"SVIBLOV, Vladislav Vladimirovich",43.47826086956522,False,Weak Match
Abu Sayyaf Group (ASG),"ABU BAKR, Sayf Boulad",51.162790697674424,False,Weak Match
Liberation Tigers of Tamil Eelam (LTTE),"POLETAYEV, Vladimir Vladimirovich",41.666666666666664,False,Weak Match
Al-Murabitoun,"HAZZIMA, Husain Ali",43.75,False,Weak Match
Popular Front for the Liberation of Palestine - General Command (PFLP-GC),"TAHA, Khalil Ibrahim Mohamed Achar Foudail",34.78260869565217,False,Weak Match
Proud Boys,"PENG, Bo",44.44444444444444,False,Weak Match
The Base,"NAIM, Basem",52.63157894736843,False,Weak Match
World Tamil Movement (WTM),"HAMMID, Mohammed Tahir",45.833333333333336,False,Weak Match
Front de Libération du Macina,"SEREDA, Marina Konstantinovna",51.72413793103448,False,Weak Match
Blood & Honour (B&H),"MUSBAH, Nourddin Milood M",53.333333333333336,False,Weak Match
Al-Muwaqi'un Bil Dima,"AL JEBRY, Kamal Hussain",45.45454545454546,False,Weak Match
Combat 18 (C18),"GARCIA RIOS, Tomasa",35.29411764705882,False,Weak Match
Aryan Strikeforce,"USS, Alexander Viktorovich",46.51162790697675,False,Weak Match
James Mason,"CHUOL, James Koang",55.172413793103445,False,Weak Match
Three Percenters,"TAN, Wee Beng",41.379310344827594,False,Weak Match
Al Qaida,"ARIF, Said",55.55555555555556,False,Weak Match
Al Qaida in the Indian Subcontinent (AQIS),"AKIMOV, Alexander Konstantinovich",45.333333333333336,False,Weak Match
Ekaterina Vorobei SMUSHKOVICH,"MATYUSHCHENKO, Ekaterina Sergeevna",60.31746031746032,False,Partial Match
Ivan Ivanovich GOLOVATY,"DEMCHENKO, Ivan Ivanovich",66.66666666666667,False,Partial Match
Valery Nikolaevich IVANOV,"FALKOV, Valeriy Nikolayevich",83.01886792452831,False,Partial Match
